ID,Match,Language,Sex,Age,Name,Script,Family,Autotyp_Area,L2,EnglishL2YesNo,r_l_distinction_L1,trill_real_L1,trill_occ_L1,r_l_distinction_L2,trill_real_L2,trill_occ_L2
SR13,1,SR,f,39,Brazilian Portuguese,roman,IE,Europe,NA,FALSE,1,0,1,NA,NA,NA
SR15,1,SR,f,34,Brazilian Portuguese,roman,IE,Europe,NA,FALSE,1,0,1,NA,NA,NA
VA01,1,VA,m,35,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA02,1,VA,m,35,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA03,1,VA,m,25,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA04,1,VA,f,28,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA05,1,VA,m,36,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA06,1,VA,f,50,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA07,1,VA,m,60,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA08,1,VA,m,52,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA09,1,VA,m,32,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA10,1,VA,f,45,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA11,1,VA,f,42,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
VA12,1,VA,m,50,Daakie,?,Austronesian,Oceania,Bislama,FALSE,1,1,1,1,1,1
