ID,sex,Language,Name,Script,Family,Autotyp_Area,trial,Condition,match
DE_2007197,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2007197,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2007257,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2007257,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2007505,F,PL,Polish,roman,IE,Europe,1,r,TRUE
DE_2007505,F,PL,Polish,roman,IE,Europe,2,l,TRUE
DE_2007575,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2007575,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2007595,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2007595,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2007942,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2007942,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2008182,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2008182,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2008469,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2008469,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2009354,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2009354,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2009820,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2009820,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2009857,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2009857,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2009902,M,DE,German,roman,IE,Europe,1,l,TRUE
DE_2009902,M,DE,German,roman,IE,Europe,2,r,TRUE
DE_2010153,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2010153,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2010577,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2010577,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2011490,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2011490,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2011955,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2011955,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2013436,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2013436,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2015119,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2015119,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2015371,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2015371,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2016147,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2016147,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2016253,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2016253,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2016675,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2016675,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2017196,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2017196,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2017541,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2017541,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2017558,M,DE,German,roman,IE,Europe,1,r,TRUE
